#plate-ifu   agc   sep   dv   mhi   mhilim200   rms
10216-12701           -1      -1.00000      -1.00000      -1.00000        9.7155029       2.81580
10216-12702       172695       28.5970       2.76830       9.71000       -1.0000000       2.40469
10216-12703       172738       18.7752       22.3019       9.85000       -1.0000000       2.39278
10216-12705       172651       45.9937       16.1157       9.72000       -1.0000000       2.38591
10216-3701           -1      -1.00000      -1.00000      -1.00000        9.7513600       3.05014
10216-3704           -1      -1.00000      -1.00000      -1.00000        9.2246959       2.35866
10216-6101           -1      -1.00000      -1.00000      -1.00000        9.5809265       2.63491
10217-12701       171514       25.7757       56.2511       10.1600       -1.0000000      -1.00000
10217-12702           -1      -1.00000      -1.00000      -1.00000        9.7589276       2.63020
10217-12705           -1      -1.00000      -1.00000      -1.00000        9.7302343       2.77567
10217-1901           -1      -1.00000      -1.00000      -1.00000        9.2677424       2.51486
10217-1902           -1      -1.00000      -1.00000      -1.00000        9.7816115       2.75653
10217-3701           -1      -1.00000      -1.00000      -1.00000        9.9011958       3.73981
10217-3703           -1      -1.00000      -1.00000      -1.00000        9.7286599       2.73310
10217-3704           -1      -1.00000      -1.00000      -1.00000        9.9646000       2.99821
10217-6101           -1      -1.00000      -1.00000      -1.00000        10.424608       2.61860
10217-6102           -1      -1.00000      -1.00000      -1.00000        9.6735833       2.38920
10217-6103           -1      -1.00000      -1.00000      -1.00000        9.6593368       2.38618
10217-6104           -1      -1.00000      -1.00000      -1.00000        10.452652       2.74676
10217-9101           -1      -1.00000      -1.00000      -1.00000        9.4466856       3.70201
10217-9102       170950       28.8767       18.2544       9.48000       -1.0000000       2.35541
10218-12701           -1      -1.00000      -1.00000      -1.00000        9.8110645       2.60461
10218-12702         4058       23.5513       5.08172       10.1000       -1.0000000       2.43121
10218-12703           -1      -1.00000      -1.00000      -1.00000        9.7058917       2.76212
10218-12704       170955       8.03013       28.1428       9.19000       -1.0000000       2.37863
10218-12705         4086       9.74049       9.82400       9.29000       -1.0000000       2.68593
10218-1901       172671       23.8031       9.72788       9.42000       -1.0000000       2.38873
10218-1902           -1      -1.00000      -1.00000      -1.00000        9.4408159       2.40482
10218-3701           -1      -1.00000      -1.00000      -1.00000        9.6658247       2.53904
10218-3702           -1      -1.00000      -1.00000      -1.00000        10.151961       3.20125
10218-3703           -1      -1.00000      -1.00000      -1.00000        9.2245474       2.34238
10218-3704       170958       34.3343       20.3006       9.73000       -1.0000000       2.55069
10218-6101           -1      -1.00000      -1.00000      -1.00000        10.324071       2.69782
10218-6102       172775       23.3865       153.443       9.63000       -1.0000000       2.40011
10218-6104           -1      -1.00000      -1.00000      -1.00000        9.6624718       2.63722
10218-9101       172696       11.2106       15.8292       9.41000       -1.0000000       2.30982
10218-9102           -1      -1.00000      -1.00000      -1.00000        8.6803532       2.34614
10220-1902           -1      -1.00000      -1.00000      -1.00000        9.6442365       2.60630
10220-3701           -1      -1.00000      -1.00000      -1.00000        9.4832486       2.34131
10220-3702           -1      -1.00000      -1.00000      -1.00000        10.060592       2.72039
10220-3704           -1      -1.00000      -1.00000      -1.00000        10.126218       2.89623
10220-6101           -1      -1.00000      -1.00000      -1.00000        10.156287       2.73348
10220-9101       180639       40.8344       21.3189       9.78000       -1.0000000       2.41917
