PLATEIFU,MANGAID,OBJRA,OBJDEC,VOPT,SESSION,EXP,RMS,LOGHILIM200KMS,PEAK,SNR,FHI,LOGMHI,VHI,EV,WM50,WP50,WP20,W2P50,WF50,PR,PL,AR,BR,AL,BL
7815-12704,1-113418,319.353761201,10.2316206875,12915.2,AGBT17A_012_103,896.5594,1.2264087,9.321946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7815-12705,1-635503,318.990452837,9.54307564379,8784.3,AGBT17A_012_103-AGBT17A_012_96,926.7274,1.2146431,0.0,0.011079122,9.121299,2.2989252,9.949013,8772.333,10.46478,383.17203,361.344,389.6655,371.54703,372.58542,11.079123,7.8307076,60.40861,0.29779142,37.529873,-0.1836993
7815-3702,1-113540,317.903201533,11.4969433994,8808.6,AGBT17A_012_103-AGBT17A_012_107,1065.9053,1.1390024,8.948704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7815-9102,1-113219,317.374745914,10.0519434342,12258.4,AGBT17A_012_103,896.6023,1.1563951,0.0,0.0067605907,5.846264,0.8630858,9.821935,12262.801,18.660225,264.98895,234.36365,266.9789,234.10066,248.79196,6.7605906,5.5166836,19.952911,0.13787273,15.453222,-0.10670021
7957-6102,1-561039,258.271094875,35.2686155772,7691.7,AGBT17A_012_18-AGBT17A_012_213,1531.0776,0.90586495,0.0,0.0070135174,7.7423434,1.1758693,9.529961,7593.525,23.094547,224.10667,206.33875,259.8602,221.16534,225.97745,6.940985,5.150262,62.62802,0.52757883,7.79782,-0.050231755
7958-12704,1-546966,258.147220889,34.6924712445,7644.1,AGBT17A_012_116-AGBT17A_012_119,857.14374,1.2333376,0.0,0.012631101,10.241397,2.5818202,9.875114,7624.362,9.974416,294.61847,274.00772,304.28296,275.2486,281.9889,11.10434,12.631101,36.060493,0.22075331,37.54146,-0.22584277
7958-12705,1-177762,258.152377303,32.8756320349,7015.0,AGBT17A_012_116,897.3238,1.342477,0.0,0.01679918,12.513571,2.6644495,9.815327,7016.606,7.208773,211.90031,198.26698,224.69957,200.6877,201.64381,16.79918,14.5817795,24.618048,0.1675201,43.590282,-0.36669245
7958-1901,1-177236,256.398930517,34.7464176615,11757.7,AGBT17A_012_122-AGBT17A_012_124,896.57776,1.1410457,9.20661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7958-1902,1-547433,258.99197773,33.6434930207,11410.3,AGBT17A_012_119,846.6504,1.2945893,0.0,0.005296026,4.090893,0.32384098,9.326227,11339.027,23.361483,94.83751,68.76696,97.37491,86.27993,79.57214,5.2960258,5.2960258,4.415933,0.06070504,3.7558768,-0.044114903
7958-3704,1-547341,258.608624405,33.4206894407,11522.4,AGBT17A_012_124-AGBT17A_012_128,986.2324,1.1407216,0.0,0.0039827386,3.4914203,0.5165883,9.535192,11417.427,25.091667,240.95961,237.90706,264.1388,272.685,247.35826,3.9827385,3.9088478,6.5706363,0.041637,27.447477,-0.21073413
7958-6101,1-547086,257.383688857,34.4270318778,7161.7,AGBT17A_012_116,897.4392,1.8841763,8.983964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7958-6103,1-547106,257.251841333,34.9047960709,10690.9,AGBT17A_012_119-AGBT17A_012_122,816.98285,1.2377553,0.0,0.0043346765,3.5020463,0.4156088,9.383197,10704.321,26.272617,226.11026,214.28679,241.84134,187.26312,216.30661,4.3346767,2.74971,4.462609,0.026944606,9.140724,-0.077526495
7958-9101,1-547402,258.495841161,33.6071374989,11590.5,AGBT17A_012_122-AGBT17A_012_124,896.79694,1.1523442,9.198094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7960-12701,1-177626,257.138837223,31.8056435337,9448.4,AGBT17A_012_94,717.1447,1.222135,0.0,0.011063663,9.052734,2.491941,10.050331,9452.306,8.95371,315.00967,305.95367,329.90512,310.57437,304.09476,8.658932,11.0636635,28.88201,0.16549848,18.586178,-0.08987602
7960-12704,1-177542,259.044306887,31.7923079272,6856.2,AGBT17A_012_94,897.0116,1.2409312,0.0,0.017461687,14.07144,3.5876746,9.92614,6872.0693,12.5978775,322.41998,295.0092,347.7883,304.45996,312.7915,17.461687,12.719254,62.049202,0.34488675,28.613775,-0.1462611
7960-1902,1-177617,257.567925509,32.2401129222,10900.0,AGBT17A_012_107-AGBT17A_012_94,896.45233,1.1798742,9.153529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7960-3703,1-547295,259.183519785,32.8062648984,12165.0,AGBT17A_012_107,896.53735,1.2152466,0.0,0.006608866,5.4382925,0.55502826,9.622725,12160.794,8.254259,124.2267,114.50557,127.73398,114.50557,100.07746,6.608866,6.608866,5.995659,0.06592592,6.538864,-0.07678161
7960-3704,1-177533,258.807856874,31.3894706707,7182.2,AGBT17A_012_94,816.9623,1.1075996,0.0,0.007951928,7.1794252,0.78935295,9.306998,7177.2266,6.9725127,179.47604,170.70314,185.34692,174.89954,178.61041,7.951928,4.920408,16.857262,0.15044025,10.246458,-0.093388215
7960-6101,1-177529,258.798899463,31.1282239365,6735.7,AGBT17A_012_94,897.0563,1.3513114,8.785406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7960-6102,1-178157,258.89242,31.52951,6878.4,AGBT17A_012_94,896.91364,1.2671194,0.0,0.004180666,3.2993464,0.28349817,8.823721,6870.8594,6.48756,159.63702,154.72075,160.95717,155.21968,151.52066,3.7609084,4.180666,24.81654,0.311108,9.197665,-0.102176055
7960-6103,1-177763,258.226225318,32.7865800599,11380.3,AGBT17A_012_107,776.9589,1.2295471,9.209914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7968-12702,1-180336,322.92881198,0.357835222133,8952.9,AGBT17A_012_153,816.9259,1.3190395,0.0,0.013110047,9.939086,2.170634,9.94132,8944.439,10.281445,326.50894,298.00107,328.30896,306.7016,309.5158,13.110047,10.974885,32.690887,0.17314388,32.98054,-0.18191393
