plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10218-12703,215.0,202.5,4,1,1,1,1,0
10492-6104,311.0,296.5,4,2,0,0,1,0
10497-9101,87.5,167.0,4,0,0,0,0,0
10503-12705,247.5,342.5,4,0,1,1,0,0
10507-3703,330.0,198.0,4,1,0,1,0,1
10510-12704,187.5,189.5,4,2,2,0,2,0
10512-1902,104.0,259.0,4,0,1,1,2,0
7958-6104,109.5,124.5,4,0,0,1,0,1
7972-6101,186.5,7.0,4,1,1,1,0,0
7990-12701,123.0,140.0,4,0,1,2,3,0
8079-6104,217.5,226.5,4,1,1,2,0,0
8131-12702,134.0,290.0,4,0,0,3,3,0
8133-12703,259.5,199.5,4,1,0,1,0,1
8133-12704,263.0,284.5,4,0,0,3,3,0
8143-1902,58.5,56.5,4,1,1,1,1,0
8143-3702,276.5,91.0,4,1,1,1,0,0
8148-12702,173.5,286.0,4,1,0,1,0,0
8150-3701,333.0,69.0,4,0,0,2,3,0
8158-6103,105.5,205.0,4,1,0,1,0,1
8241-6101,75.5,122.5,4,0,1,3,3,0
8243-6101,14.0,311.0,4,0,0,1,1,2
8244-1901,197.0,232.5,4,0,0,3,3,0
8245-3702,123.0,36.5,4,2,1,0,1,0
8249-1901,257.5,61.5,4,1,2,1,0,0
8253-1901,229.5,171.5,4,2,1,1,1,0
8257-3702,50.0,87.5,4,0,0,0,0,0
8313-6103,101.5,99.0,4,1,2,1,0,0
8323-6103,109.5,313.5,4,2,2,0,0,0
8325-6101,84.0,149.0,4,0,0,3,3,0
8335-1901,178.5,55.5,4,1,0,1,0,1
8335-6101,352.0,189.5,4,1,1,1,0,0
8440-6104,166.0,40.0,4,0,0,0,1,0
8442-3701,73.5,74.0,4,2,2,0,2,0
8451-6104,291.5,221.0,4,0,0,1,1,0
8454-12705,166.0,206.5,4,1,0,0,2,0
8455-3704,89.0,132.5,4,0,2,1,0,0
8459-6104,56.5,224.0,4,0,0,1,0,0
8461-3701,245.0,57.5,4,1,1,1,0,1
8485-12703,31.0,47.5,4,2,1,0,1,0
8602-12702,283.0,149.5,4,0,1,0,1,0
8603-6101,260.5,251.5,4,0,1,1,0,0
8604-3701,16.0,148.5,4,1,0,1,0,1
8606-3702,252.5,264.5,4,1,2,1,0,0
8612-1901,44.5,50.0,4,1,0,2,0,2
8613-6103,134.0,216.0,4,1,0,0,1,0
8615-1902,281.5,102.0,4,1,2,1,0,0
8618-1901,213.0,49.0,4,0,2,1,0,0
8711-3702,117.0,94.0,4,0,0,3,3,0
8722-3702,4.5,164.5,4,1,0,0,2,0
8726-1901,49.5,159.5,4,1,1,1,0,0
8948-6103,98.5,62.5,4,1,2,1,0,0
8980-3701,200.0,133.0,4,1,1,2,2,0
8989-9101,66.0,65.5,4,1,2,1,0,0
8990-3702,240.0,232.5,4,2,1,0,1,0
8997-3702,156.0,356.5,4,1,2,2,0,0
9000-1901,336.0,223.0,4,0,0,3,3,0
9002-1902,145.5,78.5,4,0,0,3,3,0
9027-1902,130.0,297.5,4,1,2,1,0,0
9028-1901,227.0,194.0,4,1,0,1,0,0
9032-1901,170.0,130.5,4,1,2,1,0,0
9032-1902,132.0,96.5,4,0,0,1,2,0
9037-12704,139.5,228.0,4,1,0,0,0,2
9039-3703,228.5,157.0,4,1,0,0,1,0
9040-3702,293.5,238.0,4,0,1,1,0,1
9043-3703,159.5,310.0,4,1,0,2,2,0
9184-6101,62.5,268.5,4,1,0,0,2,0
9492-1902,130.5,276.0,4,1,0,1,0,1
9497-1901,232.0,269.0,4,1,1,2,2,0
9502-12702,245.0,283.0,4,0,1,0,1,0
9514-1902,126.0,325.5,4,1,2,1,0,0
9514-3701,271.5,71.0,4,0,1,1,0,0
9868-12704,45.5,197.0,4,1,1,1,0,0
9870-3701,15.0,220.5,4,0,0,1,0,0
9872-3701,208.5,81.0,4,1,2,1,0,0
9875-9101,204.0,107.0,4,1,0,1,0,1
9876-12703,299.0,128.5,4,0,0,2,0,1
9893-3703,66.0,263.5,4,2,0,0,0,2
9894-12703,245.0,246.5,4,2,1,0,1,0
