plateifu,stellar_pa,halpha_pa,classification
10001-12701,79.5,61.0,3
10001-12702,191.0,192.0,3
10001-12703,52.5,55.5,3
10001-12704,84.5,83.0,3
10001-12705,303.5,307.5,3
10001-1901,268.0,276.0,3
10001-1902,175.0,88.0,2
10001-3701,16.5,253.0,2
10001-3702,318.0,149.0,3
10001-3703,338.5,348.0,3
10001-3704,224.0,230.5,3
10001-6101,151.0,204.5,0
10001-6102,236.0,236.5,3
10001-6103,248.0,202.5,2
10001-6104,136.0,108.5,0
10001-9101,96.5,105.0,1
10001-9102,122.0,132.5,1
10213-12701,247.0,279.0,0
10213-12702,201.0,189.0,3
10213-12703,260.5,268.5,1
10213-12704,313.0,163.5,0
10213-12705,338.0,335.5,3
10213-1901,137.5,291.0,3
10213-1902,302.5,302.5,3
10213-3701,346.5,342.5,3
10213-3702,163.5,175.5,0
10213-3703,287.0,300.5,3
10213-3704,161.5,66.5,0
10213-6101,80.5,96.5,2
10213-6102,345.5,300.5,2
10213-6103,207.5,200.5,3
10213-6104,19.0,240.0,0
10213-9101,70.0,68.5,3
10213-9102,349.5,354.0,1
10214-12701,176.0,169.0,3
10214-12702,234.5,5.5,0
10214-12703,268.5,272.5,3
10214-12704,185.5,319.5,0
10214-12705,1.0,288.5,0
10214-1901,268.0,316.5,1
10214-1902,190.0,11.5,1
10214-3701,282.0,281.0,5
10214-3702,181.0,176.5,3
10214-3703,205.0,316.0,6
10214-3704,147.0,342.5,0
10214-6101,340.5,338.5,1
10214-6102,359.0,235.5,0
10214-6103,122.5,132.0,1
10214-6104,2.5,6.5,3
10214-9101,334.0,343.5,2
10214-9102,37.0,44.0,1
10215-12701,226.0,226.0,3
10215-12702,271.0,268.5,3
10215-12703,73.0,77.0,3
10215-12704,51.5,50.0,3
10215-12705,324.5,324.5,3
10215-1901,293.0,320.0,1
10215-1902,259.5,333.0,6
10215-3701,81.5,68.5,3
10215-3702,15.5,16.0,3
10215-3703,217.5,211.5,3
10215-3704,44.0,18.5,2
10215-6101,25.5,272.5,2
10215-6102,43.5,38.5,5
10215-6103,32.0,25.5,1
10215-6104,110.5,115.0,3
10215-9101,86.5,88.0,3
10215-9102,19.0,18.0,1
10216-12701,213.0,217.0,3
10216-12702,135.5,133.0,3
10216-12703,357.0,348.5,1
10216-12704,238.0,204.5,1
10216-12705,32.0,2.0,1
10216-1901,155.5,47.0,0
10216-1902,187.5,357.5,0
10216-3701,16.0,16.0,1
10216-3702,348.5,304.5,2
10216-3703,95.0,249.5,2
10216-3704,18.5,14.0,3
10216-6101,183.0,174.5,3
10216-6102,238.0,237.0,3
10216-6103,224.0,228.5,3
10216-6104,227.5,224.5,3
10216-9101,9.0,15.5,0
10216-9102,221.0,229.0,3
10217-12701,253.5,252.5,3
10217-12702,358.5,337.0,1
10217-12703,220.0,224.5,3
10217-12704,320.5,321.5,3
10217-12705,104.5,109.0,3
10217-1901,337.5,111.0,3
10217-1902,207.5,234.0,0
10217-3701,303.0,308.0,3
