plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10001-12701,79.5,61.0,3,2,2,0,0,0
10001-12702,191.0,192.0,3,2,2,0,0,0
10001-12703,52.5,55.5,3,2,2,0,0,0
10001-12704,84.5,83.0,3,2,2,0,0,0
10001-12705,303.5,307.5,3,2,2,0,0,0
10001-1901,268.0,276.0,3,2,2,0,0,0
10001-3702,318.0,149.0,3,2,2,0,0,0
10001-3703,338.5,348.0,3,2,2,0,0,0
10001-3704,224.0,230.5,3,2,2,0,0,0
10001-6102,236.0,236.5,3,2,2,0,0,0
10213-12702,201.0,189.0,3,2,2,0,0,0
10213-12705,338.0,335.5,3,2,2,0,0,0
10213-1901,137.5,291.0,3,2,2,0,0,0
10213-1902,302.5,302.5,3,2,2,0,0,0
10213-3701,346.5,342.5,3,2,2,0,0,0
10213-3703,287.0,300.5,3,2,2,0,0,0
10213-6103,207.5,200.5,3,2,2,0,0,0
10213-9101,70.0,68.5,3,2,2,0,0,0
10214-12701,176.0,169.0,3,2,2,0,0,0
10214-12703,268.5,272.5,3,2,2,0,0,0
10214-3702,181.0,176.5,3,2,2,0,0,0
10214-6104,2.5,6.5,3,2,2,0,0,0
10215-12701,226.0,226.0,3,2,2,0,0,0
10215-12702,271.0,268.5,3,2,2,0,0,0
10215-12703,73.0,77.0,3,2,2,0,0,0
10215-12704,51.5,50.0,3,2,2,0,0,0
10215-12705,324.5,324.5,3,2,2,0,0,0
10215-3701,81.5,68.5,3,2,2,0,0,0
10215-3702,15.5,16.0,3,2,2,0,0,0
10215-3703,217.5,211.5,3,2,2,0,0,0
10215-6104,110.5,115.0,3,2,2,0,0,0
10215-9101,86.5,88.0,3,2,2,0,0,0
10216-12701,213.0,217.0,3,2,2,0,0,0
10216-12702,135.5,133.0,3,2,2,0,0,0
10216-3704,18.5,14.0,3,2,2,0,0,0
10216-6101,183.0,174.5,3,2,2,0,0,0
10216-6102,238.0,237.0,3,2,2,0,0,0
10216-6103,224.0,228.5,3,2,2,0,0,0
10216-6104,227.5,224.5,3,2,2,0,0,0
10216-9102,221.0,229.0,3,2,2,0,0,0
10217-12701,253.5,252.5,3,2,2,0,0,0
10217-12703,220.0,224.5,3,2,2,0,0,0
10217-12704,320.5,321.5,3,2,2,0,0,0
10217-12705,104.5,109.0,3,2,2,0,0,0
10217-1901,337.5,111.0,3,2,2,0,0,0
10217-3701,303.0,308.0,3,2,2,0,0,0
10217-3703,200.0,202.5,3,2,2,0,0,0
10217-3704,247.0,258.5,3,2,2,0,0,0
10218-12702,237.0,236.0,3,2,2,0,0,0
10218-12704,157.0,150.5,3,2,2,0,0,0
10218-12705,280.0,282.5,3,2,2,0,0,0
10218-1902,202.5,20.5,3,2,2,0,0,0
10218-3701,26.0,26.0,3,2,2,0,0,0
10218-3703,1.5,2.5,3,2,2,0,0,0
10218-3704,290.5,296.5,3,2,2,0,0,0
10218-6102,98.5,94.0,3,2,2,0,0,0
10218-9102,168.5,159.5,3,2,2,0,0,0
10219-12701,132.5,134.0,3,2,2,0,0,0
10219-12702,282.0,281.5,3,2,2,0,0,0
10219-12705,317.5,318.0,3,2,2,0,0,0
10219-9102,247.0,248.5,3,2,2,0,0,0
10220-12701,277.0,281.0,3,2,2,0,0,0
10220-12702,208.5,211.5,3,2,2,0,0,0
10220-12705,216.0,215.0,3,2,2,0,0,0
10220-3701,152.0,156.5,3,2,2,0,0,0
10220-3703,115.5,294.5,3,2,2,0,0,0
10220-3704,15.0,16.5,3,2,2,0,0,0
10220-6103,338.5,336.5,3,2,2,0,0,0
10220-6104,328.5,325.5,3,2,2,0,0,0
10220-9101,242.5,241.0,3,2,2,0,0,0
10220-9102,260.0,253.5,3,2,2,0,0,0
10221-3701,38.0,34.5,3,2,2,0,0,0
10221-3704,3.5,16.5,3,2,2,0,0,0
10221-6102,125.5,123.5,3,2,2,0,0,0
10221-6103,33.0,32.5,3,2,2,0,0,0
10221-9101,312.5,312.0,3,2,2,0,0,0
10492-12701,280.5,281.0,3,2,2,0,0,0
10492-12702,180.5,179.0,3,2,2,0,0,0
10492-12704,263.5,268.0,3,2,2,0,0,0
10492-1902,108.5,102.0,3,2,2,0,0,0
10492-3704,10.0,7.5,3,2,2,0,0,0
10492-6102,6.5,5.5,3,2,2,0,0,0
10492-9101,45.0,45.0,3,2,2,0,0,0
10492-9102,336.0,338.0,3,2,2,0,0,0
10493-3701,120.0,118.0,3,2,2,0,0,0
10494-12705,31.5,32.5,3,2,2,0,0,0
10494-3701,342.0,341.5,3,2,2,0,0,0
10494-3704,242.0,237.5,3,2,2,0,0,0
10494-6101,54.0,55.5,3,2,2,0,0,0
10494-9101,178.5,179.5,3,2,2,0,0,0
10494-9102,157.5,156.5,3,2,2,0,0,0
10496-12701,296.0,301.5,3,2,2,0,0,0
10496-12702,60.0,61.5,3,2,2,0,0,0
10496-12705,122.0,124.0,3,2,2,0,0,0
10496-1901,188.5,170.0,3,2,2,0,0,0
10496-3702,290.5,289.5,3,2,2,0,0,0
10496-6101,36.5,38.0,3,2,2,0,0,0
10496-6102,240.0,242.5,3,2,2,0,0,0
10497-12705,333.0,322.5,3,2,2,0,0,0
10497-3701,223.5,226.5,3,2,2,0,0,0
10497-3702,214.5,210.0,3,2,2,0,0,0
10497-6101,5.0,7.0,3,2,2,0,0,0
10497-6104,226.5,216.0,3,2,2,0,0,0
10497-9102,47.5,45.5,3,2,2,0,0,0
10498-12705,251.5,249.0,3,2,2,0,0,0
10498-1901,115.0,91.5,3,2,2,0,0,0
10498-1902,209.5,216.5,3,2,2,0,0,0
10498-3701,347.5,349.0,3,2,2,0,0,0
10498-3704,343.0,320.0,3,2,2,0,0,0
10498-6104,330.5,323.5,3,2,2,0,0,0
10498-9101,309.5,309.0,3,2,2,0,0,0
10499-12704,215.5,214.0,3,2,2,0,0,0
10499-12705,353.5,355.5,3,2,2,0,0,0
10499-1902,237.5,237.5,3,2,2,0,0,0
10499-3702,133.5,138.0,3,2,2,0,0,0
10499-3703,143.5,145.0,3,2,2,0,0,0
10499-3704,356.5,354.5,3,2,2,0,0,0
10499-6103,158.5,164.0,3,2,2,0,0,0
10499-9102,77.0,71.5,3,2,2,0,0,0
10503-12702,302.0,304.0,3,2,2,0,0,0
10503-12703,113.5,114.0,3,2,2,0,0,0
10503-12704,119.0,113.5,3,2,2,0,0,0
10503-1901,41.5,175.5,3,2,2,0,0,0
10503-3703,196.0,194.5,3,2,2,0,0,0
10503-6102,325.5,332.0,3,2,2,0,0,0
10503-9102,0.5,4.5,3,2,2,0,0,0
10504-12704,344.5,344.0,3,2,2,0,0,0
10504-3703,354.5,352.5,3,2,2,0,0,0
10504-6104,75.5,77.5,3,2,2,0,0,0
10504-9101,340.0,340.0,3,2,2,0,0,0
10504-9102,326.0,321.5,3,2,2,0,0,0
10506-12702,315.0,315.0,3,2,2,0,0,0
10506-12703,33.0,34.5,3,2,2,0,0,0
10506-6101,283.5,287.5,3,2,2,0,0,0
10506-6102,177.0,178.0,3,2,2,0,0,0
10506-9101,234.0,234.5,3,2,2,0,0,0
10507-12703,155.0,155.5,3,2,2,0,0,0
10507-12705,61.0,60.0,3,2,2,0,0,0
10507-3701,204.0,207.0,3,2,2,0,0,0
10507-3702,1.0,355.5,3,2,2,0,0,0
10507-3704,162.5,161.0,3,2,2,0,0,0
10507-6101,256.5,261.5,3,2,2,0,0,0
10507-6102,274.5,271.0,3,2,2,0,0,0
10507-6103,281.5,286.0,3,2,2,0,0,0
10507-6104,114.0,108.5,3,2,2,0,0,0
10507-9101,252.5,252.5,3,2,2,0,0,0
10507-9102,236.0,237.5,3,2,2,0,0,0
10508-12701,299.5,300.0,3,2,2,0,0,0
