plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10214-3703,205.0,316.0,6,1,0,1,0,2
10215-1902,259.5,333.0,6,1,1,0,2,0
10219-12703,67.0,68.0,6,0,0,3,3,0
10219-1901,21.5,32.5,6,1,0,2,0,1
10221-1901,134.0,172.0,6,1,0,2,2,0
10221-6101,184.5,224.5,6,0,0,3,3,0
10492-12703,66.0,68.0,6,0,0,3,3,0
10494-12704,274.5,118.5,6,0,0,3,3,0
10494-6102,7.0,255.5,6,1,0,2,0,1
10496-12704,221.0,233.0,6,1,1,0,0,0
10498-6103,251.0,78.0,6,0,0,3,3,0
10499-6101,164.5,86.5,6,0,0,3,3,0
10504-12701,179.5,174.5,6,1,1,3,3,0
10507-12704,177.5,174.0,6,0,0,3,3,0
10508-6103,131.5,134.0,6,0,0,3,3,0
10510-12705,134.5,40.0,6,0,0,3,3,0
10510-6103,191.0,314.0,6,1,1,3,3,0
10514-1902,135.5,165.5,6,0,0,3,3,0
10517-12702,224.5,96.5,6,0,0,0,0,0
7443-12703,192.0,143.5,6,0,0,3,3,0
7815-1901,150.5,178.0,6,1,1,1,0,0
7960-3704,124.0,140.0,6,0,2,0,0,0
7968-12705,105.5,129.0,6,0,0,3,3,0
7975-3704,345.0,300.5,6,0,2,2,0,0
7975-6104,195.0,250.0,6,1,1,3,3,0
7977-12701,270.0,244.5,6,0,0,3,3,0
7991-12702,39.0,263.0,6,0,0,3,3,0
7991-1901,81.5,182.0,6,1,0,0,1,0
7992-12702,48.5,199.0,6,1,0,0,2,0
7992-6103,164.0,332.0,6,0,0,0,2,0
7993-3703,20.5,74.5,6,0,2,0,0,0
8078-6102,330.0,286.5,6,1,0,0,0,2
8080-12704,96.0,80.5,6,1,1,3,3,0
8082-1901,195.5,312.5,6,0,1,1,0,0
8082-3703,324.0,83.5,6,0,0,3,3,0
8082-9102,153.0,138.5,6,1,1,3,3,0
8085-9102,320.5,308.0,6,0,0,3,3,0
8131-9101,199.0,193.0,6,1,1,3,3,0
8133-6103,64.0,183.5,6,1,1,2,2,0
8134-3701,325.5,337.0,6,0,0,3,3,0
8138-6102,317.5,162.5,6,1,2,1,0,0
8139-3702,153.0,187.5,6,0,2,2,0,0
8141-6103,352.0,148.5,6,1,1,2,2,0
8143-12704,24.5,27.0,6,1,1,3,3,0
8144-3703,305.0,333.0,6,0,1,0,2,0
8145-3702,15.5,178.5,6,0,1,2,0,0
8146-12705,198.5,201.5,6,1,1,0,2,0
8146-6102,32.5,278.0,6,0,0,3,3,0
8148-12704,165.5,186.5,6,1,1,1,0,0
8148-12705,222.5,231.0,6,0,0,3,3,0
8149-6103,2.5,340.0,6,1,1,2,0,0
8150-9102,339.5,321.0,6,0,0,3,3,0
8241-12705,355.5,337.0,6,0,0,3,3,0
8244-3704,102.5,220.0,6,0,0,3,3,0
8244-6103,131.5,260.0,6,1,0,0,0,0
8245-3701,331.0,350.0,6,0,2,0,0,0
8249-12705,256.5,104.0,6,0,0,0,0,1
8250-12704,135.5,150.0,6,0,0,3,3,0
8255-3701,163.0,234.0,6,0,1,2,2,0
8255-6103,312.0,138.0,6,0,0,3,3,0
8255-9101,53.5,63.0,6,0,0,3,3,0
8256-9101,91.0,219.5,6,0,0,3,3,0
8256-9102,174.0,250.0,6,0,1,0,0,0
8258-6104,270.5,105.0,6,0,1,3,3,0
8260-12702,140.0,244.0,6,0,2,1,0,0
