plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10001-1902,175.0,88.0,2,2,0,0,0,1
10001-3701,16.5,253.0,2,1,0,0,0,2
10001-6103,248.0,202.5,2,2,0,0,0,3
10213-6101,80.5,96.5,2,1,0,0,0,0
10213-6102,345.5,300.5,2,2,0,0,0,0
10214-9101,334.0,343.5,2,2,0,0,0,1
10215-3704,44.0,18.5,2,2,0,0,0,3
10215-6101,25.5,272.5,2,1,0,0,0,0
10216-3702,348.5,304.5,2,1,0,0,0,2
10216-3703,95.0,249.5,2,2,0,0,0,2
10218-3702,332.0,264.5,2,1,0,0,0,3
10219-3701,250.0,8.5,2,1,0,0,0,1
10219-3702,189.5,272.5,2,2,0,0,0,1
10219-3704,259.0,55.0,2,2,0,0,0,1
10219-6102,61.5,55.5,2,2,0,0,0,1
10220-6101,316.0,172.0,2,2,0,0,0,3
10221-3702,111.5,144.5,2,1,0,0,0,3
10221-3703,79.0,301.0,2,2,0,0,0,1
10492-3701,11.0,199.5,2,1,0,0,0,1
10492-3703,307.5,250.0,2,2,0,0,0,3
10493-3702,21.0,48.5,2,2,0,0,0,1
10494-3703,129.5,154.5,2,2,0,0,0,1
10494-6104,22.5,218.5,2,1,0,0,0,1
10496-3703,313.5,23.0,2,2,0,0,0,1
10496-3704,68.5,15.0,2,1,0,0,0,1
10497-3704,6.5,2.0,2,1,0,0,0,3
10499-12703,176.0,235.5,2,1,0,0,0,2
10499-3701,206.5,77.5,2,2,0,0,0,1
10503-1902,26.0,34.5,2,2,0,0,0,1
10503-3701,205.0,238.0,2,2,0,0,0,1
10503-3704,338.5,123.5,2,2,0,0,0,1
10504-12702,224.0,176.5,2,2,0,0,0,1
10504-1901,175.0,187.5,2,2,0,0,0,1
10504-1902,230.0,78.0,2,2,0,0,0,1
10504-3702,30.0,3.0,2,2,0,0,0,1
10504-3704,226.0,252.0,2,2,0,0,0,3
10504-6101,50.5,239.0,2,2,0,0,0,1
10504-6102,39.5,274.0,2,1,0,0,0,1
10504-6103,301.0,11.0,2,2,0,0,0,3
10506-1902,295.5,194.5,2,1,0,0,0,2
10506-6103,114.5,16.5,2,2,0,0,0,1
10508-3703,162.0,19.5,2,2,0,0,0,1
10508-3704,226.5,132.0,2,1,0,0,0,1
10509-12705,261.0,257.5,2,1,0,0,0,0
10509-3702,351.5,303.0,2,2,0,0,0,1
10510-12701,342.5,168.5,2,1,0,0,0,1
10510-12702,120.0,52.0,2,2,0,0,0,2
10510-3703,179.0,267.5,2,1,0,0,0,1
10511-1902,319.5,243.0,2,1,0,0,0,3
10512-3701,281.5,303.5,2,1,0,0,0,2
10512-3704,313.0,59.5,2,2,0,0,0,1
10514-1901,92.5,352.5,2,2,0,0,0,1
10516-12702,357.0,108.5,2,0,0,0,0,0
10516-3703,77.5,6.0,2,2,0,0,0,1
10516-6101,304.0,201.5,2,1,0,0,0,1
10516-6103,91.0,47.5,2,1,0,0,0,3
10516-9101,216.5,147.5,2,1,0,0,0,1
10517-3703,157.5,176.5,2,2,0,0,0,1
10519-1902,290.5,105.0,2,2,0,0,0,2
10519-3701,115.0,226.5,2,1,0,0,0,1
10519-3702,167.0,181.0,2,2,0,0,0,3
10519-6103,98.5,159.0,2,2,0,0,0,1
7443-12701,153.5,81.0,2,0,0,0,0,0
7495-3704,186.5,137.0,2,2,0,0,0,3
7815-1902,192.5,340.0,2,1,0,0,0,2
7957-1901,311.5,337.5,2,2,0,0,0,1
7957-1902,241.5,215.0,2,2,0,0,0,1
7957-3702,17.0,27.5,2,2,0,0,0,1
7957-6101,113.0,307.5,2,2,0,0,0,2
7957-6103,106.0,131.0,2,2,0,0,0,2
7958-3704,333.5,307.0,2,1,0,0,0,3
7960-1901,281.0,223.5,2,1,0,0,0,1
7960-1902,143.0,81.0,2,1,0,0,0,2
7960-3701,139.0,151.5,2,1,0,0,0,3
7960-6104,250.5,291.0,2,1,0,0,0,1
7962-1901,330.5,256.5,2,3,0,0,0,1
7962-1902,120.0,233.5,2,1,0,0,0,2
7962-3703,348.5,230.0,2,2,0,0,0,1
7962-3704,10.5,282.5,2,1,0,0,0,0
7962-6103,199.0,158.5,2,2,0,0,0,1
7964-1901,117.5,81.5,2,1,0,0,0,1
7964-3703,153.0,173.0,2,1,0,0,0,3
7964-6103,307.0,220.0,2,1,0,0,0,3
7968-12704,53.0,20.5,2,2,0,0,0,3
7972-1901,69.5,286.5,2,2,0,0,0,2
7972-3703,91.0,23.0,2,2,0,0,0,3
7975-3702,204.0,226.5,2,2,0,0,0,1
