plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10214-3701,282.0,281.0,5,1,1,0,0,0
10215-6102,43.5,38.5,5,1,1,2,2,0
10217-9102,105.0,117.5,5,2,1,0,0,0
10218-6103,108.5,116.5,5,1,1,0,2,0
10218-9101,5.0,21.5,5,1,1,0,2,0
10221-6104,293.0,227.5,5,2,1,0,2,0
10221-9102,176.0,161.5,5,2,2,0,2,0
10492-6103,56.5,81.5,5,2,1,0,2,0
10494-1902,308.5,286.0,5,2,0,2,0,1
10499-6102,126.0,123.0,5,2,2,0,2,0
10506-3701,288.0,318.5,5,2,1,0,0,0
10506-3703,254.5,270.0,5,1,2,2,0,0
10508-1901,54.5,81.0,5,0,2,2,2,0
10509-1901,185.0,165.5,5,2,2,0,2,0
10509-6101,85.5,73.5,5,1,1,0,2,0
7495-6102,349.0,324.0,5,0,1,0,2,0
7992-6102,327.0,315.0,5,1,1,0,2,0
8079-9101,14.0,13.5,5,2,2,0,2,0
8081-6104,131.5,111.0,5,2,1,2,0,0
8083-12703,136.0,157.0,5,1,1,0,2,0
8137-3703,134.0,314.0,5,2,2,0,0,0
8140-3702,120.5,306.0,5,2,2,0,2,0
8150-6103,258.0,286.0,5,2,2,0,2,0
8150-6104,79.5,72.5,5,2,2,0,0,0
8152-3704,209.0,156.0,5,1,1,0,2,0
8154-12702,302.0,291.0,5,0,1,0,0,0
8252-6103,52.0,40.0,5,2,2,0,2,0
8254-9101,204.5,208.5,5,2,2,0,2,0
8260-3704,61.0,151.5,5,2,2,0,2,0
8263-1901,115.0,118.5,5,2,2,2,0,0
8263-9102,5.5,36.5,5,1,0,2,0,0
8324-3701,111.5,97.0,5,2,1,0,2,0
8325-6103,128.0,154.0,5,0,2,0,2,0
8337-6102,160.5,163.0,5,2,1,0,2,0
8341-12702,350.0,23.5,5,2,1,0,2,0
8440-6103,302.5,326.5,5,1,1,0,2,0
8442-9101,119.0,87.5,5,0,2,0,0,0
8456-3701,357.0,17.5,5,2,1,0,2,0
8465-3701,75.5,47.5,5,2,1,0,2,0
8481-3702,36.0,46.5,5,1,0,2,0,2
8483-12703,253.5,244.0,5,2,1,0,2,0
8483-3703,262.5,286.0,5,2,2,0,2,0
8549-6104,165.5,133.5,5,2,1,0,2,0
8588-3704,300.5,8.0,5,1,0,0,2,0
8588-6101,318.5,280.0,5,2,2,0,2,0
8623-12704,71.5,73.5,5,2,2,0,2,0
8657-1902,284.5,272.5,5,2,2,0,2,0
8714-3702,292.0,241.5,5,1,0,2,0,1
8723-1902,97.0,65.0,5,2,2,0,2,0
8932-12704,166.5,134.5,5,1,1,0,1,0
8940-6104,215.0,199.0,5,2,1,0,0,0
8947-1901,233.0,244.5,5,2,2,0,2,0
8949-3704,57.5,134.0,5,1,0,2,0,0
8952-6102,11.5,49.0,5,1,0,2,0,0
8985-6104,251.0,253.0,5,2,2,0,2,0
8990-6101,236.0,282.5,5,1,0,2,0,1
8998-6101,25.5,6.0,5,1,0,2,0,1
9001-6101,155.0,141.5,5,1,1,2,2,0
9025-3703,51.0,67.5,5,2,1,0,2,0
9030-3701,285.5,57.5,5,2,0,2,0,1
9032-3701,234.0,246.5,5,2,2,0,2,0
9034-1901,346.5,350.0,5,1,1,3,3,0
9035-3703,313.5,264.0,5,2,2,0,2,0
9037-3702,103.0,97.0,5,2,1,0,2,0
9045-3703,280.5,328.0,5,2,2,0,2,0
9047-6101,65.0,82.5,5,2,1,0,2,0
9048-1901,94.5,83.0,5,2,2,0,2,0
9090-9102,341.0,146.5,5,0,0,3,3,0
9182-3703,169.0,175.5,5,2,1,0,2,0
9182-6104,308.5,312.0,5,2,2,0,2,0
9186-9101,118.5,117.5,5,2,2,0,2,0
9194-3702,170.5,145.0,5,2,1,0,2,0
9490-3704,292.0,341.0,5,2,2,0,2,0
9494-1901,160.5,168.0,5,2,1,0,2,0
9498-3703,68.5,303.0,5,2,2,0,2,0
9502-6103,335.5,17.5,5,2,2,2,2,0
9503-3704,156.5,11.0,5,1,1,0,2,0
9509-3702,297.0,306.5,5,1,1,0,2,0
9509-3704,343.0,329.0,5,2,1,0,2,0
9862-12703,231.5,177.0,5,2,1,0,2,0
9864-3702,90.5,188.0,5,1,1,0,2,0
9879-12702,211.0,212.5,5,2,2,0,2,0
9886-9102,262.0,226.0,5,1,0,2,0,1
9890-1901,135.0,356.0,5,0,1,0,2,0
9894-3704,77.0,165.5,5,1,1,0,2,0
