plateifu,stellar_pa,halpha_pa,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature,halpha_notes
10001-6101,151,204.5,53.5,0,0,0,0,0
10001-6104,136,108.5,27.5,0,0,0,0,0
10213-12701,247,279,32,0,0,0,0,0
10213-12704,313,163.5,149.5,0,0,0,0,0
10213-3702,163.5,175.5,12,0,0,0,0,0
10213-3704,161.5,66.5,95,0,0,0,0,0
10213-6104,19,240,139,0,0,0,0,0
10214-12702,234.5,5.5,131,0,0,0,0,0
10214-12704,185.5,319.5,134,0,0,0,0,0
10214-12705,1,288.5,72.5,0,0,0,0,0
10214-3704,147,342.5,164.5,0,0,0,0,0
10214-6102,359,235.5,123.5,0,0,0,0,0
10216-1901,155.5,47,108.5,0,0,0,0,0
10216-1902,187.5,357.5,170,0,0,0,0,0
10216-9101,9,15.5,6.5,0,0,0,0,0
10217-1902,207.5,234,26.5,0,0,0,0,0
10217-6101,111.5,287,175.5,0,0,0,0,0
10217-6104,355,165,170,0,0,0,0,0
10217-9101,262.5,223,39.5,0,0,0,0,0
10218-6101,102,192.5,90.5,0,0,0,0,0
10219-1902,109,117,8,0,0,0,0,0
10219-3703,310.5,342.5,32,0,0,0,0,0
10219-6101,84.5,292,152.5,0,0,0,0,0
10220-6102,326,179.5,146.5,0,0,0,0,0
10221-12702,159.5,144,15.5,0,0,0,0,0
10493-1902,122,289,167,0,0,0,0,0
10493-3703,10,246.5,123.5,0,0,0,0,0
10493-6101,126.5,60.5,66,0,0,0,0,0
10493-6102,241.5,358.5,117,0,0,0,0,0
10493-6103,35,75,40,0,0,0,0,0
10493-6104,208.5,281,72.5,0,0,0,0,0
10494-12702,36.5,169,132.5,0,0,0,0,0
10494-12703,161,136.5,24.5,0,0,0,0,0
10494-1901,25,335,50,0,0,0,0,0
10494-3702,54,32,22,0,0,0,0,0
10494-6103,198.5,136,62.5,0,0,0,0,0
10496-1902,293.5,4,70.5,0,0,0,0,0
10496-3701,5.5,268,97.5,0,0,0,0,0
